Organization,Link,Date Scraped,Type
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_02_03_nr_su_q4_en.pdf?modified=20220907174456,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_01_27_ma_su_to_release_fourth_quarter_results_en.pdf?modified=20220907174448,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-12-08-varennes-biofuel-partnership-en.pdf?modified=20220917163742,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-11-30-suncor-energy-announces-2021-production-outlook-and-capital-allocation-en.pdf?modified=20220917163636,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-11-23-suncor-to-assume-operatorship-of-syncrude-by-end-of-2021-en.pdf?modified=20220917163522,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-11-19-petro-canada-to-support-caremakers-foundation-en.pdf?modified=20220917163422,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-11-18-suncor-energy-declares-dividend-en.pdf?modified=20220917163321,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-11-17-suncor-energy-announces-jean-paul-gladu-to-join-board-of-directors-en.pdf?modified=20220917163214,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-10-28-suncor-energy-reports-third-quarter-2020-results-en.pdf?modified=20220917163106,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-10-21-suncor-energy-to-release-third-quarter-2020-financial-results-en.pdf?modified=20220917163006,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-09-17-suncor-recertified-gold-ccab-aboriginal-relations-program-en.pdf?modified=20220917162859,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-09-07-suncor-energy-provides-operational-and-2020-guidance-update-en.pdf?modified=20220917162747,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-08-16-suncor-provides-update-on-base-plant-mining-operations-en.pdf?modified=20220917162638,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-22-suncor-energy-declares-dividend-en.pdf?modified=20220917162403,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-22-suncor-energy-reports-second-quarter-2020-results-en.pdf?modified=20220917162521,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-15-suncor-energy-releases-2020-report-on-sustainability-en.pdf?modified=20220919045236,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-14-suncor-energy-to-release-second-quarter-2020-financial-results-en.pdf?modified=20220917162137,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-06-02-nr-su-lanzajet-release-en.pdf?modified=20220917161938,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-05-11-su-us-notes-offering-en.pdf?modified=20220917161823,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-05-06-su-agm-shareholder-results-en.pdf?modified=20220917161713,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-05-05-nr-su-q1-en.pdf?modified=20220917161547,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-05-05-nr-su-dividend-en.pdf?modified=20220917161058,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-04-27-ma-su-to-release-first-quarter-results-and-hold-agm-en.pdf?modified=20220917160945,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-04-14-suncor-supports-communities-through-petro-canada-en.pdf?modified=20220917160733,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-04-14-suncor-to-hold-agm-online-en.pdf?modified=20220917160835,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-04-07-nr-cdn-notes-offering-en.pdf?modified=20220917160605,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-03-23-nr-su-revises-guidance-en.pdf?modified=20220917160430,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-02-27-suncor-energy-files-disclosure-documents-en.pdf?modified=20220917160341,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-02-05-nr-q1-dividend-sbb-en.pdf?modified=20220917160155,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-02-05-nr-su-q4-en.pdf?modified=20220917163805,10/27/2025,pdf
